column_index,column_name,current_dtype,basic_semantic_role,meaning_to_be_filled_by_user,unit_if_any,allowed_values_or_range,notes
0,Customer ID,int64,Possible Identifier Column,,,,Auto-generated draft. User/domain expert must confirm.
1,Age,int64,Numeric Column,,,,Auto-generated draft. User/domain expert must confirm.
2,Gender,object,Binary Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
3,Item Purchased,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
4,Category,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
5,Purchase Amount (USD),int64,Numeric Column,,,,Auto-generated draft. User/domain expert must confirm.
6,Location,object,High Cardinality Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
7,Size,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
8,Color,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
9,Season,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
10,Review Rating,float64,Numeric Column,,,,Auto-generated draft. User/domain expert must confirm.
11,Subscription Status,object,Binary Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
12,Discount Applied,object,Binary Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
13,Previous Purchases,int64,Numeric Column,,,,Auto-generated draft. User/domain expert must confirm.
14,Payment Method,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
15,Frequency of Purchases,object,Categorical Column,,,,Auto-generated draft. User/domain expert must confirm.
