column_name,value,count,percentage
Gender,Male,2652,68.0
Gender,Female,1248,32.0
Item Purchased,Blouse,171,4.3846
Item Purchased,Jewelry,171,4.3846
Item Purchased,Pants,171,4.3846
Item Purchased,Shirt,169,4.3333
Item Purchased,Dress,166,4.2564
Item Purchased,Sweater,164,4.2051
Item Purchased,Jacket,163,4.1795
Item Purchased,Belt,161,4.1282
Item Purchased,Sunglasses,161,4.1282
Item Purchased,Coat,161,4.1282
Category,Clothing,1737,44.5385
Category,Accessories,1240,31.7949
Category,Footwear,599,15.359
Category,Outerwear,324,8.3077
Location,Montana,96,2.4615
Location,California,95,2.4359
Location,Idaho,93,2.3846
Location,Illinois,92,2.359
Location,Alabama,89,2.2821
Location,Minnesota,88,2.2564
Location,Nebraska,87,2.2308
Location,New York,87,2.2308
Location,Nevada,87,2.2308
Location,Maryland,86,2.2051
Size,M,1755,45.0
Size,L,1053,27.0
Size,S,663,17.0
Size,XL,429,11.0
Color,Olive,177,4.5385
Color,Yellow,174,4.4615
Color,Silver,173,4.4359
Color,Teal,172,4.4103
Color,Green,169,4.3333
Color,Black,167,4.2821
Color,Cyan,166,4.2564
Color,Violet,166,4.2564
Color,Gray,159,4.0769
Color,Maroon,158,4.0513
Season,Spring,999,25.6154
Season,Fall,975,25.0
Season,Winter,971,24.8974
Season,Summer,955,24.4872
Subscription Status,No,2847,73.0
Subscription Status,Yes,1053,27.0
Discount Applied,No,2223,57.0
Discount Applied,Yes,1677,43.0
Payment Method,PayPal,677,17.359
Payment Method,Credit Card,671,17.2051
Payment Method,Cash,670,17.1795
Payment Method,Debit Card,636,16.3077
Payment Method,Venmo,634,16.2564
Payment Method,Bank Transfer,612,15.6923
Frequency of Purchases,Every 3 Months,584,14.9744
Frequency of Purchases,Annually,572,14.6667
Frequency of Purchases,Quarterly,563,14.4359
Frequency of Purchases,Monthly,553,14.1795
Frequency of Purchases,Bi-Weekly,547,14.0256
Frequency of Purchases,Fortnightly,542,13.8974
Frequency of Purchases,Weekly,539,13.8205
