column_name,current_dtype,missing_count,unique_values,meaning_to_be_filled_by_user,unit_if_any,allowed_values_or_range,is_sensitive_yes_no,use_in_ml_yes_no,possible_target_yes_no,notes
Customer ID,int64,0,3900,,,,,,,
Age,int64,0,53,,,,,,,
Gender,object,0,2,,,,,,,
Item Purchased,object,0,25,,,,,,,
Category,object,0,4,,,,,,,
Purchase Amount (USD),int64,0,81,,,,,,,
Location,object,0,50,,,,,,,
Size,object,0,4,,,,,,,
Color,object,0,25,,,,,,,
Season,object,0,4,,,,,,,
Review Rating,float64,0,26,,,,,,,
Subscription Status,object,0,2,,,,,,,
Discount Applied,object,0,2,,,,,,,
Previous Purchases,int64,0,50,,,,,,,
Payment Method,object,0,6,,,,,,,
Frequency of Purchases,object,0,7,,,,,,,
